Date,Time,Category,Site,Turbidity ,BGA,AConductivity,SpCond,Salinity,Resistivity,Density,TDS,Chla,Temp,Barometric,Pressure,ft,m,Voltage,BP,Lat,Long
6/8/2021,15:44:00,B,AR2b,2.46457,0.3030577,38.27407,45.96532,0.02067389,1726254,0.9989874,0.05933088,0.618838,15.84461,747.9233,1.250219,5.879344,1.792023994,0.108,997.1497,46.72875204,-91.87356513
6/8/2021,15:44:00,B,AR2b,2.46457,0.2668046,38.57571,46.69944,0.02098157,1227110,0.9989883,0.06138397,0.425294,15.83911,747.9233,1.295711,6.111006,1.862634569,0.108,997.1497,46.72875204,-91.87356513
6/8/2021,15:44:00,B,AR2b,2.46457,0.2305516,38.87735,47.43356,0.02128924,727965.3,0.9989893,0.06343707,0.2317502,15.8336,747.9233,1.341203,6.342668,1.933245145,0.108,997.1497,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.321261,0.1428162,77.66425,94.45686,0.04405401,384514,0.9990269,0.06447952,0.1351324,15.7429,747.9034,3.687373,9.376876,2.858071713,0.1000154,997.123,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.232516,0.1104526,80.50141,97.91257,0.04569406,15965.7,0.9990295,0.06581257,0.007637759,15.73484,747.9023,3.832671,9.638426,2.937792151,0.09958681,997.1216,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.143772,0.07808901,83.33857,101.3683,0.0473341,0,0.999032,0.0671456,0,15.72678,747.9012,3.97797,9.899977,3.017512893,0.09915825,997.1202,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.46389,0.1225871,82.21647,100.1096,0.0467575,12280.42,0.9990383,0.06571052,0.005242234,15.69193,747.9212,5.275025,12.84173,3.914159179,0.09917245,997.1469,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.425147,0.1220596,83.06365,101.1491,0.04726132,12031.26,0.9990395,0.06570531,0.005215782,15.68786,747.9218,5.399148,13.07318,3.984705136,0.09898879,997.1476,46.72874381,-91.87359025
6/8/2021,15:44:00,B,AR2b,1.40339,0.1436051,82.49203,100.8746,0.04712199,12122.5,0.9990676,0.06556849,0.008179801,15.46668,747.9351,6.347372,15.25951,4.651098499,0.1065545,997.1653,46.72873993,-91.87360307
6/8/2021,15:44:00,B,AR2b,1.401763,0.1451295,82.45816,100.8591,0.0471141,12127.44,0.9990693,0.06555841,0.008315626,15.45351,747.9362,6.42841,15.44619,4.707998561,0.1069764,997.1668,46.72873993,-91.87360307
6/8/2021,15:44:00,B,AR2b,1.400137,0.1466539,82.42429,100.8436,0.0471062,12132.39,0.9990711,0.06554833,0.008451451,15.44035,747.9374,6.509448,15.63287,4.764898624,0.1073982,997.1683,46.72873993,-91.87360307
6/8/2021,15:44:00,B,AR2b,1.574683,0.07658009,80.7842,98.45267,0.04589916,12795.35,0.9992492,0.06399424,0.01190303,15.17166,747.9567,8.761692,20.83488,6.350471221,0.09247635,997.1942,46.72873993,-91.87360307
